place_id,place_name,latitude,longitude,address,zip_code
ChIJU9Ib6XMpDogR9qG1G-hCa14,bistro ascione,41.79531041368725,-87.58917027740624,1500 e 55th st ,60615
ChIJBy9179AtDogR-0bMsngyl1Q,the bandit,41.88427122892853,-87.64900872431221,841 w randolph st fl ,60607
ChIJhUOqAQYxDogRkFHYdYgRf_o,popeyes/gold coast dogs,41.884781799169296,-87.62610786782005,159 n wabash ave ,60601
ChIJcSWpN6nTD4gRG1bMhCwsU9o,gyro mena,41.93983528881153,-87.65180999488649,905 w belmont ,60657
ChIJnxfm2fwxDogR_MlJNTnHXA8,el puerto restaurant,41.80829788515971,-87.69983243115264,3016-3018 w 47th st ,60632
ChIJYbTnXjMxDogR5fcNTEFwNQI,home run inn pizza,41.79361450624168,-87.77530250991505,6221 s archer ave ,60638
ChIJXclUC8bSD4gR1ew5Ui201HQ,kanela breakfast club,41.90742472961463,-87.6730736738879,1408 n milwaukee ave ,60622
ChIJFUAS6Zs0DogREdbGAURRjyg,sarah & lee's cafe & catering,41.89474834949864,-87.76505696129179,5535 w chicago ave ,60651
ChIJtQV6QKwsDogR0e6bQHelafs,just salads illinois center llc,41.88807942610461,-87.62404736976373,111 e wacker dr ,60601
ChIJ5aApyhrSD4gRXpJq3JsbHxM,potbelly sandwich works ,41.96685268567701,-87.68730910211042,4709 n lincoln ave ,60625
ChIJP00lOsfSD4gR_RX2UPOXkPk,brobagel,41.910394950817256,-87.67633340602579,1931 w north ave ,60622
ChIJ1VKNZs0xDogRXAG23tkjYjo,la pilluelita  de michoacan,41.77900603952042,-87.70779461927462,3356 w 63rd st ,60629
ChIJf4WvY7ssDogRlgJb7R6JUA4,"italian village restaurant, inc.",41.880591895360816,-87.63044232703336,71 w monroe st ,60603
ChIJkbk0TvsQdkgRf-Bzbmzb7C0,wing yip restaurant,41.84528410425101,-87.64149537830833,537 w 26th st ,60616
ChIJ3Yw5TDDMD4gRUv_NQUOtIZ0,irish american heritage center,41.965242580480265,-87.74411673243358,4626 n knox ave ,60630
ChIJO0gQVgbSD4gR-hW9za_9Hds,"turkish cafe restaurant, inc.",41.968453711367204,-87.69470467019119,2621 w lawrence ave ,60625
ChIJxcVjx-v6DogRGy1zw5WvIic,cemitas puebla,41.88668168821072,-87.64826444102471,817 w fulton market ,60607
ChIJvw60iajRD4gRLHG_Cn4ZaOE,asahi roll,42.00568707320046,-87.66080017921671,6803 n sheridan rd ,60626
ChIJqXBBmzksDogR8pDe_sK-74Q,buffalo wings and rings,41.831724396177286,-87.6462763924342,3434 s halsted st ,60608
ChIJk6Xb98bSD4gRohNq2uKmnR4,swig,41.90868950334511,-87.67460455772611,1469 n milwaukee ave ,60622
ChIJm37KyCrTD4gRKRfflENrqPE,sushi,41.89635199197075,-87.65669038160023,1136 w chicago ave ,60642
ChIJ5cxKOsUsDogRzjHqwXV39ok,jubilee juice and grill,41.88427569154588,-87.64757922514687,140 n halsted st ,60661
ChIJz4N2FkrND4gR-OfxLUeNhkY,la huarachita,41.94162586513457,-87.72822990010387,3334 n milwaukee ave ,60641
ChIJ7_Bc5YwyDogRO3VbNofCgZI,osama food,41.86409878431525,-87.71550171632134,1308 s central park ave ,60623
ChIJedRfJ7TND4gRRNghCMxJix8,lou malnatis pizzeria,41.95340614931185,-87.73214376177366,3986 n avondale ave ,60641
ChIJXZob1gWuD4gRKrOCrK38pDI,westin river north chgo hotel - ember,41.888070377638456,-87.62969225672218,320 n dearborn st ,60654
ChIJXZob1gWuD4gRKrOCrK38pDI,westin river north chgo hotel - employee cafe,41.888070377638456,-87.62969225672218,320 n dearborn st ,60654
ChIJL39t2_EsDogR3n6ROZIE9qk,express grill inc,41.85817765911514,-87.64679833651262,1730 s halsted st ,60608
