,DBA Name,Latitude,Longitude,Address,Zip
40974,the house of cooked fish & chicken,41.764683442911746,-87.62474219585987,7127 s state st ,60619.0
40983,"magic cafe & grill, inc.",41.6913989363127,-87.70472545403344,3335 w 111th st ,60655.0
40985,big baba's steak & lemonade,41.81713617425935,-87.60685990202305,4248 s cottage grove ave ,60653.0
41065,rosebud theatre district,41.88209336730132,-87.63039164462683,70 w madison st ,60602.0
41086,bow truss coffee roasters,41.85765704388003,-87.66789398532076,1641 w 18th st ,60608.0
41088,essence med spa & wellness center,41.9977441821896,-87.76545323972375,6413 n kinzua ave ,60646.0
41094,energy house,41.931555623594534,-87.7365107445718,4353 w diversey ave ,60639.0
41113,crispy's,42.01178507312264,-87.80832300705629,7242 w touhy ave ,60631.0
41123,anna's asian grill & sushi bar,41.9543219531723,-87.67446733120752,1804-1806 w irving park rd ,60613.0
41124,chef burger bistro,41.8918694700262,-87.6227485839992,164 e grand ave ,60611.0
41130,the new dating game,41.7325045796234,-87.58570048118187,8924 s stony island ave ,60617.0
41189,my little rome,41.938304136758276,-87.79357100323703,6706 w belmont ave ,60634.0
41192,fitness formula clubs-south loop,41.86790450001522,-87.62728574017744,1151 s state st ,60605.0
41228,little island neveria jalisco,41.793586506181114,-87.6934808799233,2753 w 55th st ,60632.0
41259,nostalgia,41.9385048752176,-87.78027565968289,6140 w belmont ave ,60634.0
41273,torta haus,41.93277107333041,-87.6525056472966,926 w diversey pkwy ,60614.0
41311,j&j fish & chicken,41.7397504818082,-87.58585674948006,8524 s stony island ave ,60617.0
41335,el huarache de maria,41.92424543692604,-87.75411405185369,5108 w fullerton ave ,60639.0
41345,sloppy's,41.70720669695179,-87.61370307804555,401 e 103rd st ,60628.0
41366,papa romeo pizza,41.95417032399312,-87.66978810728348,1617 w irving park rd ,60613.0
41392,montiva cafe,41.754660124393745,-87.7413847586052,7601 s cicero ave ,60652.0
41454,ice max,41.852076669646046,-87.63184941840943,2227 s wentworth ave ,60616.0
41483,restaurant dona ana,41.782967133217156,-87.72302765304838,6038 s pulaski rd ,60629.0
41504,yoberri,41.922587397605,-87.63881263754818,2224 n clark st ,60614.0
41537,beans & bagels,41.966634464642866,-87.69380644969819,2601 w leland ave ,60625.0
41563,crepe town,41.95315753657653,-87.6543589916925,3915 n sheridan rd ,60613.0
41567,mei shung restaurant,41.98217442127303,-87.65988083378956,5511 n broadway ,60640.0
41569,la costena ice cream shop corp.,41.80098989401022,-87.68747130571663,2517 w 51st st ,60632.0
41580,panchitos fit,41.92465294102072,-87.72182329917538,3758 w fullerton ave ,60647.0
41585,shrimp house,41.68320770129268,-87.64194316740587,11623 s halsted st ,60628.0
41588,curious,41.89600469987965,-87.6779378973854,2020 w chicago ,60622.0
41616,chick-fil-a,41.89742660194131,-87.62711022579532,25 e pearson st ,60611.0
41621,doostan restaurant persians and mediterranean cuis,41.99058337130486,-87.69400395517721,2546-2548 w peterson ave ,60659.0
41641,sandella's/capers,41.87853127835361,-87.63942745962717,225 s canal st ,60606.0
41656,zigzag cafe,41.962596548691735,-87.65551767517252,4429 n broadway ,60640.0
41687,general growth management inc,41.88349824310264,-87.63720027259414,110 n wacker dr ,60606.0
41704,starbucks coffee ,41.927896171181466,-87.69735679904316,2543 n california ave ,60647.0
41713,southern cut barbecue cafe,41.88935203301385,-87.62884885027289,20 w kinzie ,60654.0
41728,la catrina cafe,41.85790269277439,-87.65215620861206,1011 w 18th st ,60608.0
41740,east side taverna & pizzaria,41.899936475960715,-87.62180244533545,201 e walton st ,60611.0
41775,marisqueria los cabos,41.941943445197786,-87.76647037947353,3355-3359 n central ave ,60634.0
